# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  156       4.824046411831e+03       1.127387524936e+00       0.000000000000e+00      -4.903554756662e+01       7.830922607703e-08       2.740675834535e-04      -1.600796598124e-06 
  157       4.857461935946e+03       1.119335699551e+00       0.000000000000e+00      -4.890717679478e+01       7.788955503807e-08       2.720683163536e-04      -1.586690750324e-06 
  158       4.890595929757e+03       1.110898770503e+00       0.000000000000e+00      -4.875141187247e+01       7.747368386651e-08       2.700864651890e-04      -1.572127982086e-06 
  159       4.923436291711e+03       1.102092921636e+00       0.000000000000e+00      -4.856801953081e+01       7.706039503766e-08       2.681167761384e-04      -1.556996772174e-06 
  160       4.955970587298e+03       1.092935287076e+00       0.000000000000e+00      -4.835678133217e+01       7.664816766452e-08       2.661532621906e-04      -1.541176659040e-06 
  161       4.988186864555e+03       1.083443571521e+00       0.000000000000e+00      -4.811749246927e+01       7.623565988777e-08       2.641907676958e-04      -1.524564731662e-06 
  162       5.020076193309e+03       1.073634843709e+00       0.000000000000e+00      -4.784995736683e+01       7.582329361642e-08       2.622299568039e-04      -1.507159699743e-06 
  163       5.051630340893e+03       1.063526662759e+00       0.000000000000e+00      -4.755399430479e+01       7.541191230184e-08       2.602729318829e-04      -1.488988399240e-06 
  164       5.082840969492e+03       1.053137474640e+00       0.000000000000e+00      -4.722943721898e+01       7.500229758968e-08       2.583216915129e-04      -1.470080051400e-06 
  165       5.113699634353e+03       1.042486624483e+00       0.000000000000e+00      -4.687613601623e+01       7.459516269639e-08       2.563781229393e-04      -1.450466328256e-06 
  166       5.144197782000e+03       1.031594368906e+00       0.000000000000e+00      -4.649395688951e+01       7.419114556463e-08       2.544439943995e-04      -1.430181418829e-06 
  167       5.174326748437e+03       1.020481888326e+00       0.000000000000e+00      -4.608278263304e+01       7.379080179457e-08       2.525209473240e-04      -1.409262096036e-06 
  168       5.204077757366e+03       1.009171299279e+00       0.000000000000e+00      -4.564251295740e+01       7.339459734855e-08       2.506104884123e-04      -1.387747784298e-06 
  169       5.233441918389e+03       9.976856667388e-01       0.000000000000e+00      -4.517306480470e+01       7.300290102609e-08       2.487139815823e-04      -1.365680627847e-06 
  170       5.262410225226e+03       9.860490164356e-01       0.000000000000e+00      -4.467437266363e+01       7.261597670659e-08       2.468326397944e-04      -1.343105559746e-06 
  171       5.290973553920e+03       9.742863471713e-01       0.000000000000e+00      -4.414638888465e+01       7.223397535692e-08       2.449675167501e-04      -1.320070371600e-06 
  172       5.319122661047e+03       9.624236431396e-01       0.000000000000e+00      -4.358908399506e+01       7.185692680099e-08       2.431194984643e-04      -1.296625783979e-06 
  173       5.346848181933e+03       9.504878862433e-01       0.000000000000e+00      -4.300244701418e+01       7.148473124874e-08       2.412892947125e-04      -1.272825517538e-06 
